Entropy,StdReturn,dLoss,MeanKLBefore,AverageDiscountedReturn,ExplainedVariance,LossAfter,AverageReturn,vf_LossBefore,MaxReturn,vf_dLoss,vf_LossAfter,Iteration,LossBefore,Perplexity,MinReturn,MeanKL,AveragePolicyStd,NumTrajs,vf_MeanKL
31.9696706762,88.127531673,0.0360577315646,0.0,246.696686128,0.374277898852,-0.0360577315646,260.483957466,6.03065875566,1172.09437941,0.0344964277412,5.99616232792,70,1.59606294654e-16,7.66040203418e+13,-439.838926387,0.00998846151215,0.971768469623,2898,0.00429751412439
31.9504089943,92.2885148718,0.0366558813808,0.0,248.492116232,0.3484805637,-0.0366558813808,263.193014782,6.05318529977,1178.77285236,0.0354174447635,6.01776785501,71,-2.64351947233e-17,7.51426177871e+13,-863.880134909,0.00997738295411,0.970970558142,2840,0.00761323996184
31.9376566501,123.657471419,0.0389150636898,0.0,253.232656976,0.214439415178,-0.0389150636898,270.05157741,6.36039743904,2468.65580087,0.0365420426884,6.32385539635,72,-1.41900877628e-16,7.41904573095e+13,-937.320899753,0.0099688012577,0.970450539557,2680,0.00407111999134
31.9170637102,100.36257403,0.0283542017501,0.0,250.688383606,0.363889195715,-0.0283542017501,264.171877617,6.09465925359,1762.60896087,0.0241436861968,6.07051556739,73,3.95656282201e-17,7.26782811928e+13,-783.978075951,0.00642045757603,0.969591840955,2737,0.00909441025033
31.9019481025,140.124003965,0.0397648413103,0.0,252.75388361,0.195131414363,-0.0397648413103,267.99179581,6.65688000692,2555.38271581,0.0636397342312,6.59324027269,74,-1.60383684575e-17,7.15879659512e+13,-979.945717559,0.00996244682413,0.96896447021,2608,0.00381835230682
31.892048927,112.221839266,0.0399963001989,0.0,256.805628609,0.276722315255,-0.0399963001989,273.606998715,6.18344731639,1891.75266001,0.0166097742711,6.16683754212,75,4.10292147651e-17,7.08828001572e+13,-394.136143632,0.00998162788332,0.968556449202,2708,0.00574552715956
31.8774881554,114.703846158,0.0303255409834,0.0,256.018939762,0.264133749977,-0.0303255409834,271.912417003,6.27445356658,2536.72392673,0.0194208637349,6.25503270285,76,7.98029276556e-17,6.98581696951e+13,-501.2339275,0.00641765271897,0.967949097741,2608,0.00951216562187
31.8705044553,145.926991637,0.0304466529286,0.0,260.174032233,0.158366767153,-0.0304466529286,277.356119082,6.6953874353,3253.6471723,0.0708463819469,6.62454105335,77,-1.09336808091e-19,6.93720007941e+13,-2632.06325691,0.00640525230418,0.967661660035,2472,0.00771201187108
31.8699976197,672.336934943,0.0269001775138,0.0,254.192984752,0.00736830554723,-0.0269001775138,261.459109627,34.7419547942,1418.30030433,2.96842642459,31.7735283696,78,2.3084473451e-16,6.93368495058e+13,-33232.4863455,0.00988401842953,0.967643499194,2565,0.00293117751271
31.870657944,285.922562111,0.0255037867315,0.0,252.388150126,0.106641655484,-0.0255037867315,267.84231867,7.10312513772,2320.68054775,0.0998543559187,7.0032707818,79,-8.51164087351e-17,6.93826494313e+13,-12669.1307878,0.00995207924067,0.967671658956,2584,0.00577767045585
31.8699887385,138.709151975,0.0317042114408,0.0,260.82082068,0.172469140706,-0.0317042114408,275.591607929,6.68103360883,2372.66693944,0.0346323241457,6.64640128468,80,-2.23645580466e-16,6.93362337136e+13,-4111.19162253,0.00998998028615,0.967648336088,2576,0.0064627795478
31.8629595516,143.243073348,0.0397820227281,0.0,264.321350765,0.141385394975,-0.0397820227281,285.111877942,6.45557744529,1885.82920318,0.0288240768296,6.42675336847,81,5.00821864379e-17,6.88505652956e+13,-626.12976125,0.00998632512291,0.967359508771,2539,0.00636061921493
31.8538687232,122.440130116,0.0381719632695,0.0,261.947657252,0.257713048683,-0.0381719632695,280.166204833,6.29621629668,1855.6169328,0.0306301385282,6.26558615816,82,-9.078468915e-17,6.82274930332e+13,-1292.95847241,0.0099717886486,0.966995756919,2551,0.00666919097445
